No.;Time;Source;Destination;Protocol;Length;Info
4457;60.288884;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4458;60.288922;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4459;60.288922;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4460;60.288963;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4461;60.289008;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4462;60.289008;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4463;60.289044;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4464;60.289072;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4465;60.289072;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4466;60.289114;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4467;60.289157;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4468;60.289309;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4469;60.289456;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4470;60.289616;192.168.43.84;112.215.207.44;UDP;82;60544  >  443 Len=40
4471;60.28986;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4472;60.290111;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4473;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4474;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4475;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4476;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4477;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4478;60.291029;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4479;60.292667;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4480;60.304242;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4481;60.306227;192.168.43.84;112.215.207.44;UDP;78;60544  >  443 Len=36
4482;60.307772;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4483;60.308269;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4484;60.308269;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4485;60.315786;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4486;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4487;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4488;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4489;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4490;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4491;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4492;60.317049;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4493;60.317385;192.168.43.84;112.215.207.44;UDP;77;60544  >  443 Len=35
4494;60.318151;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4495;60.319166;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4496;60.319166;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4497;60.319166;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
4498;60.319166;112.215.207.44;192.168.43.84;UDP;1292;443  >  60544 Len=1250
